Model,MAE,RMSE,R2
Linear Regression,5.667728567600478,7.047662987199724,0.4640577908083524
Random Forest,2.5063599980113347,3.538849035376583,0.8648699995660037
XGBoost,2.199615489125766,3.067268764944059,0.8984847310448981
Ensemble,2.216048019315903,3.110536598585339,0.8956005197179852
